<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	10:00:00	1.12098	1.12137	1.12050	1.12119	2645	0	3
2020.01.02	11:00:00	1.12119	1.12140	1.12010	1.12030	2156	0	3
2020.01.02	12:00:00	1.12031	1.12038	1.11927	1.11982	1793	0	3
2020.01.02	13:00:00	1.11982	1.12020	1.11841	1.11846	2552	0	3
2020.01.02	14:00:00	1.11846	1.11942	1.11829	1.11930	2189	0	3
2020.01.02	15:00:00	1.11929	1.11970	1.11895	1.11963	2377	0	3
2020.01.02	16:00:00	1.11962	1.11963	1.11699	1.11740	4012	0	3
2020.01.02	17:00:00	1.11740	1.12023	1.11709	1.12004	5261	0	3
2020.01.02	18:00:00	1.12004	1.12030	1.11650	1.11661	4646	0	3
2020.01.02	19:00:00	1.11662	1.11717	1.11634	1.11698	2232	0	3
2020.01.02	20:00:00	1.11698	1.11721	1.11636	1.11701	2124	0	3
2020.01.02	21:00:00	1.11701	1.11702	1.11642	1.11661	1687	0	3
2020.01.02	22:00:00	1.11661	1.11715	1.11657	1.11691	1584	0	3
2020.01.02	23:00:00	1.11690	1.11735	1.11688	1.11722	619	0	3
2020.01.03	00:00:00	1.11699	1.11724	1.11683	1.11711	670	0	6
2020.01.03	01:00:00	1.11711	1.11733	1.11700	1.11706	513	0	3
2020.01.03	02:00:00	1.11707	1.11760	1.11696	1.11753	735	0	3
2020.01.03	03:00:00	1.11753	1.11783	1.11721	1.11735	1014	0	3
2020.01.03	04:00:00	1.11735	1.11773	1.11717	1.11725	2023	0	3
2020.01.03	05:00:00	1.11725	1.11735	1.11694	1.11719	1429	0	3
2020.01.03	06:00:00	1.11720	1.11748	1.11685	1.11699	1149	0	3
2020.01.03	07:00:00	1.11698	1.11704	1.11642	1.11662	1763	0	3
2020.01.03	08:00:00	1.11661	1.11694	1.11638	1.11690	1172	0	3
2020.01.03	09:00:00	1.11691	1.11715	1.11520	1.11531	3896	0	3
2020.01.03	10:00:00	1.11530	1.11604	1.11505	1.11510	3572	0	3
2020.01.03	11:00:00	1.11511	1.11521	1.11399	1.11400	3182	0	3
2020.01.03	12:00:00	1.11401	1.11433	1.11305	1.11360	3330	0	3
2020.01.03	13:00:00	1.11360	1.11360	1.11248	1.11299	2674	0	3
2020.01.03	14:00:00	1.11299	1.11425	1.11281	1.11390	2458	0	3
2020.01.03	15:00:00	1.11390	1.11487	1.11372	1.11381	2770	0	3
2020.01.03	16:00:00	1.11380	1.11540	1.11352	1.11519	3180	0	3
2020.01.03	17:00:00	1.11519	1.11673	1.11519	1.11632	5572	0	3
2020.01.03	18:00:00	1.11633	1.11798	1.11624	1.11719	3574	0	3
2020.01.03	19:00:00	1.11720	1.11740	1.11678	1.11720	1894	0	3
2020.01.03	20:00:00	1.11720	1.11731	1.11658	1.11666	2602	0	3
2020.01.03	21:00:00	1.11665	1.11680	1.11611	1.11673	2318	0	3
2020.01.03	22:00:00	1.11673	1.11673	1.11599	1.11613	1096	0	3
2020.01.03	23:00:00	1.11612	1.11619	1.11515	1.11557	943	0	3
2020.01.06	00:00:00	1.11643	1.11653	1.11588	1.11589	344	0	4
2020.01.06	01:00:00	1.11594	1.11676	1.11589	1.11603	2232	0	3
2020.01.06	02:00:00	1.11603	1.11683	1.11600	1.11634	1529	0	3
2020.01.06	03:00:00	1.11635	1.11653	1.11612	1.11627	1333	0	3
2020.01.06	04:00:00	1.11627	1.11669	1.11623	1.11653	803	0	3
2020.01.06	05:00:00	1.11654	1.11709	1.11652	1.11657	1224	0	3
2020.01.06	06:00:00	1.11656	1.11660	1.11616	1.11642	934	0	3
2020.01.06	07:00:00	1.11643	1.11651	1.11604	1.11622	636	0	3
2020.01.06	08:00:00	1.11623	1.11624	1.11570	1.11607	1128	0	3
2020.01.06	09:00:00	1.11606	1.11666	1.11596	1.11646	2453	0	3
2020.01.06	10:00:00	1.11646	1.11797	1.11631	1.11784	2998	0	3
2020.01.06	11:00:00	1.11785	1.11935	1.11751	1.11932	3074	0	3
2020.01.06	12:00:00	1.11932	1.11995	1.11897	1.11963	2455	0	3
2020.01.06	13:00:00	1.11962	1.12054	1.11961	1.12031	2682	0	3
2020.01.06	14:00:00	1.12032	1.12043	1.11951	1.11980	1633	0	3
2020.01.06	15:00:00	1.11981	1.12031	1.11911	1.11975	2374	0	3
2020.01.06	16:00:00	1.11976	1.12001	1.11824	1.11831	2353	0	3
2020.01.06	17:00:00	1.11831	1.11900	1.11820	1.11885	3273	0	3
2020.01.06	18:00:00	1.11886	1.11896	1.11808	1.11871	2508	0	3
2020.01.06	19:00:00	1.11871	1.11959	1.11841	1.11949	1421	0	3
2020.01.06	20:00:00	1.11949	1.11979	1.11916	1.11918	1198	0	3
2020.01.06	21:00:00	1.11917	1.11927	1.11878	1.11911	1270	0	3
2020.01.06	22:00:00	1.11913	1.11937	1.11888	1.11936	948	0	3
2020.01.06	23:00:00	1.11933	1.11989	1.11927	1.11966	520	0	3
2020.01.07	00:00:00	1.11960	1.11960	1.11930	1.11951	550	0	5
2020.01.07	01:00:00	1.11952	1.11973	1.11939	1.11953	831	0	3
2020.01.07	02:00:00	1.11953	1.11954	1.11890	1.11896	1027	0	3
2020.01.07	03:00:00	1.11896	1.11969	1.11894	1.11933	991	0	3
2020.01.07	04:00:00	1.11932	1.11933	1.11908	1.11913	438	0	3
2020.01.07	05:00:00	1.11914	1.11942	1.11911	1.11921	726	0	3
2020.01.07	06:00:00	1.11921	1.11934	1.11904	1.11908	699	0	3
2020.01.07	07:00:00	1.11908	1.11924	1.11827	1.11829	785	0	3
2020.01.07	08:00:00	1.11830	1.11897	1.11808	1.11815	2343	0	3
2020.01.07	09:00:00	1.11815	1.11853	1.11729	1.11739	2944	0	3
2020.01.07	10:00:00	1.11739	1.11874	1.11724	1.11846	3258	0	3
2020.01.07	11:00:00	1.11846	1.11895	1.11804	1.11844	2263	0	3
2020.01.07	12:00:00	1.11845	1.11860	1.11647	1.11761	2745	0	3
2020.01.07	13:00:00	1.11763	1.11848	1.11720	1.11816	2295	0	3
2020.01.07	14:00:00	1.11816	1.11831	1.11707	1.11747	2067	0	3
2020.01.07	15:00:00	1.11747	1.11777	1.11547	1.11561	3244	0	3
2020.01.07	16:00:00	1.11558	1.11621	1.11463	1.11476	3210	0	3
2020.01.07	17:00:00	1.11476	1.11517	1.11342	1.11416	4260	0	3
2020.01.07	18:00:00	1.11416	1.11439	1.11334	1.11369	2021	0	3
2020.01.07	19:00:00	1.11369	1.11472	1.11367	1.11424	1697	0	3
2020.01.07	20:00:00	1.11423	1.11494	1.11413	1.11433	1349	0	3
2020.01.07	21:00:00	1.11434	1.11449	1.11416	1.11445	1113	0	3
2020.01.07	22:00:00	1.11445	1.11476	1.11422	1.11437	780	0	3
2020.01.07	23:00:00	1.11437	1.11521	1.11436	1.11517	846	0	3
2020.01.08	00:00:00	1.11481	1.11516	1.11437	1.11477	1059	0	6
2020.01.08	01:00:00	1.11476	1.11541	1.11456	1.11538	2414	0	3
2020.01.08	02:00:00	1.11538	1.11680	1.11523	1.11585	5909	0	3
2020.01.08	03:00:00	1.11584	1.11630	1.11548	1.11555	4025	0	3
2020.01.08	04:00:00	1.11556	1.11613	1.11530	1.11585	3606	0	3
2020.01.08	05:00:00	1.11585	1.11591	1.11535	1.11545	1374	0	3
2020.01.08	06:00:00	1.11545	1.11556	1.11450	1.11476	1173	0	3
2020.01.08	07:00:00	1.11476	1.11512	1.11472	1.11491	1305	0	3
2020.01.08	08:00:00	1.11491	1.11537	1.11483	1.11499	1139	0	3
2020.01.08	09:00:00	1.11499	1.11548	1.11431	1.11511	3429	0	3
2020.01.08	10:00:00	1.11511	1.11531	1.11300	1.11348	5101	0	3
2020.01.08	11:00:00	1.11348	1.11447	1.11252	1.11384	3123	0	3
2020.01.08	12:00:00	1.11383	1.11384	1.11254	1.11272	2736	0	3
2020.01.08	13:00:00	1.11272	1.11310	1.11196	1.11271	2670	0	3
2020.01.08	14:00:00	1.11271	1.11308	1.11138	1.11166	2459	0	3
2020.01.08	15:00:00	1.11166	1.11222	1.11110	1.11199	3248	0	3
2020.01.08	16:00:00	1.11198	1.11268	1.11175	1.11244	2455	0	3
2020.01.08	17:00:00	1.11244	1.11307	1.11152	1.11198	2900	0	3
2020.01.08	18:00:00	1.11197	1.11202	1.11088	1.11164	4265	0	3
2020.01.08	19:00:00	1.11163	1.11258	1.11130	1.11179	3128	0	3
2020.01.08	20:00:00	1.11179	1.11179	1.11102	1.11131	1588	0	3
2020.01.08	21:00:00	1.11131	1.11141	1.11081	1.11111	1190	0	3
